column_name	data_type	udt_name	is_nullable	is_generated	column_default	formatted_type	atttypmod
audience	ARRAY	_text	NO	NEVER	'{tous}'::text[]	text[]	-1
candidat	text	text	YES	NEVER	\N	text	-1
chunk_id	text	text	NO	NEVER	\N	text	-1
chunk_index	integer	int4	NO	NEVER	0	integer	-1
chunk_sha256	text	text	NO	NEVER	\N	text	-1
collection	text	text	NO	NEVER	\N	text	-1
doc_id	text	text	NO	NEVER	\N	text	-1
domain	text	text	NO	NEVER	'education'::text	text	-1
indexed_at	timestamp with time zone	timestamptz	NO	NEVER	now()	timestamp with time zone	-1
matiere	text	text	NO	NEVER	\N	text	-1
model	text	text	YES	NEVER	\N	text	-1
niveau	text	text	NO	NEVER	\N	text	-1
notions	ARRAY	_text	NO	NEVER	'{}'::text[]	text[]	-1
official	boolean	bool	NO	NEVER	false	boolean	-1
page_end	integer	int4	YES	NEVER	\N	integer	-1
page_start	integer	int4	YES	NEVER	\N	integer	-1
programme_version	text	text	YES	NEVER	\N	text	-1
review_status	text	text	NO	NEVER	'needs_review'::text	text	-1
rights	text	text	NO	NEVER	\N	text	-1
school_year	text	text	YES	NEVER	\N	text	-1
source_kind	text	text	NO	NEVER	'unknown'::text	text	-1
source_label	text	text	NO	NEVER	\N	text	-1
source_uri	text	text	NO	NEVER	\N	text	-1
statut_enseignement	text	text	NO	NEVER	'unknown'::text	text	-1
tenant	text	text	YES	NEVER	\N	text	-1
text	text	text	YES	NEVER	\N	text	-1
text_tsv	tsvector	tsvector	YES	ALWAYS	\N	tsvector	-1
type_doc	text	text	NO	NEVER	\N	text	-1
vector	USER-DEFINED	vector	YES	NEVER	\N	vector(1024)	1024
visibility	text	text	YES	NEVER	\N	text	-1
voie	text	text	NO	NEVER	'generale'::text	text	-1
