table_name	column_name	data_type	udt_name	is_nullable	is_generated	column_default	formatted_type	atttypmod
rag_artifact_placements	artifact_id	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	audience	ARRAY	_text	NO	NEVER	\N	text[]	-1
rag_artifact_placements	authorization_id	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	candidat	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	collection	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	created_at	timestamp with time zone	timestamptz	NO	NEVER	now()	timestamp with time zone	-1
rag_artifact_placements	currentness	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	matiere	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	niveau	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	placement_id	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	placement_status	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	programme_version	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	publication_attestation_id	uuid	uuid	NO	NEVER	\N	uuid	-1
rag_artifact_placements	review_status	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	school_year	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	source_path	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	source_placement_id	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	source_scope	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	statut_enseignement	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	tenant	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	visibility	text	text	NO	NEVER	\N	text	-1
rag_artifact_placements	voie	text	text	NO	NEVER	\N	text	-1
rag_artifacts	artifact_id	text	text	NO	NEVER	\N	text	-1
rag_artifacts	content_sha256	text	text	NO	NEVER	\N	text	-1
rag_artifacts	created_at	timestamp with time zone	timestamptz	NO	NEVER	now()	timestamp with time zone	-1
rag_artifacts	ingestion_artifact_id	uuid	uuid	NO	NEVER	\N	uuid	-1
rag_artifacts	official	boolean	bool	NO	NEVER	false	boolean	-1
rag_artifacts	rights	text	text	NO	NEVER	\N	text	-1
rag_artifacts	source_kind	text	text	NO	NEVER	\N	text	-1
rag_artifacts	source_label	text	text	NO	NEVER	\N	text	-1
rag_artifacts	source_uri	text	text	NO	NEVER	\N	text	-1
rag_artifacts	type_doc	text	text	NO	NEVER	\N	text	-1
rag_chunks	artifact_id	text	text	YES	NEVER	\N	text	-1
rag_chunks	audience	ARRAY	_text	NO	NEVER	'{tous}'::text[]	text[]	-1
rag_chunks	candidat	text	text	YES	NEVER	\N	text	-1
rag_chunks	chunk_id	text	text	NO	NEVER	\N	text	-1
rag_chunks	chunk_index	integer	int4	NO	NEVER	0	integer	-1
rag_chunks	chunk_sha256	text	text	NO	NEVER	\N	text	-1
rag_chunks	collection	text	text	NO	NEVER	\N	text	-1
rag_chunks	doc_id	text	text	NO	NEVER	\N	text	-1
rag_chunks	domain	text	text	NO	NEVER	'education'::text	text	-1
rag_chunks	indexed_at	timestamp with time zone	timestamptz	NO	NEVER	now()	timestamp with time zone	-1
rag_chunks	matiere	text	text	NO	NEVER	\N	text	-1
rag_chunks	model	text	text	YES	NEVER	\N	text	-1
rag_chunks	niveau	text	text	NO	NEVER	\N	text	-1
rag_chunks	notions	ARRAY	_text	NO	NEVER	'{}'::text[]	text[]	-1
rag_chunks	official	boolean	bool	NO	NEVER	false	boolean	-1
rag_chunks	page_end	integer	int4	YES	NEVER	\N	integer	-1
rag_chunks	page_start	integer	int4	YES	NEVER	\N	integer	-1
rag_chunks	programme_version	text	text	YES	NEVER	\N	text	-1
rag_chunks	review_status	text	text	NO	NEVER	'needs_review'::text	text	-1
rag_chunks	rights	text	text	NO	NEVER	\N	text	-1
rag_chunks	school_year	text	text	YES	NEVER	\N	text	-1
rag_chunks	source_kind	text	text	NO	NEVER	'unknown'::text	text	-1
rag_chunks	source_label	text	text	NO	NEVER	\N	text	-1
rag_chunks	source_uri	text	text	NO	NEVER	\N	text	-1
rag_chunks	statut_enseignement	text	text	NO	NEVER	'unknown'::text	text	-1
rag_chunks	tenant	text	text	YES	NEVER	\N	text	-1
rag_chunks	text	text	text	YES	NEVER	\N	text	-1
rag_chunks	text_tsv	tsvector	tsvector	YES	ALWAYS	\N	tsvector	-1
rag_chunks	type_doc	text	text	NO	NEVER	\N	text	-1
rag_chunks	vector	USER-DEFINED	vector	YES	NEVER	\N	vector(1024)	1024
rag_chunks	visibility	text	text	YES	NEVER	\N	text	-1
rag_chunks	voie	text	text	NO	NEVER	'generale'::text	text	-1
